# Single-beam echo sounder data
# Format: timestamp,latitude,longitude,depth,quality,heading,pitch,roll,velocity
2024-01-01T00:00:00Z,40.7128,-74.0060,10.5,95,180.0,2.0,0.5,5.2
2024-01-01T00:00:01Z,40.7129,-74.0059,11.2,92,181.0,1.8,0.7,5.1
2024-01-01T00:00:02Z,40.7130,-74.0058,12.1,88,182.0,1.6,0.9,5.0
2024-01-01T00:00:03Z,40.7131,-74.0057,13.4,85,183.0,1.4,1.1,4.9
2024-01-01T00:00:04Z,40.7132,-74.0056,14.8,82,184.0,1.2,1.3,4.8
2024-01-01T00:00:05Z,40.7133,-74.0055,16.2,79,185.0,1.0,1.5,4.7
2024-01-01T00:00:06Z,40.7134,-74.0054,17.9,76,186.0,0.8,1.7,4.6
2024-01-01T00:00:07Z,40.7135,-74.0053,19.6,73,187.0,0.6,1.9,4.5
2024-01-01T00:00:08Z,40.7136,-74.0052,21.3,70,188.0,0.4,2.1,4.4
2024-01-01T00:00:09Z,40.7137,-74.0051,23.1,67,189.0,0.2,2.3,4.3
2024-01-01T00:00:10Z,40.7138,-74.0050,25.0,64,190.0,0.0,2.5,4.2
2024-01-01T00:00:11Z,40.7139,-74.0049,27.2,61,191.0,-0.2,2.7,4.1
2024-01-01T00:00:12Z,40.7140,-74.0048,29.5,58,192.0,-0.4,2.9,4.0
2024-01-01T00:00:13Z,40.7141,-74.0047,32.1,55,193.0,-0.6,3.1,3.9
2024-01-01T00:00:14Z,40.7142,-74.0046,34.8,52,194.0,-0.8,3.3,3.8
2024-01-01T00:00:15Z,40.7143,-74.0045,37.6,49,195.0,-1.0,3.5,3.7
2024-01-01T00:00:16Z,40.7144,-74.0044,40.5,46,196.0,-1.2,3.7,3.6
2024-01-01T00:00:17Z,40.7145,-74.0043,43.6,43,197.0,-1.4,3.9,3.5
2024-01-01T00:00:18Z,40.7146,-74.0042,46.8,40,198.0,-1.6,4.1,3.4
2024-01-01T00:00:19Z,40.7147,-74.0041,50.2,37,199.0,-1.8,4.3,3.3
2024-01-01T00:00:20Z,40.7148,-74.0040,53.7,34,200.0,-2.0,4.5,3.2
2024-01-01T00:00:21Z,40.7149,-74.0039,57.4,31,201.0,-2.2,4.7,3.1
2024-01-01T00:00:22Z,40.7150,-74.0038,61.2,28,202.0,-2.4,4.9,3.0
2024-01-01T00:00:23Z,40.7151,-74.0037,65.1,25,203.0,-2.6,5.1,2.9
2024-01-01T00:00:24Z,40.7152,-74.0036,69.2,22,204.0,-2.8,5.3,2.8
2024-01-01T00:00:25Z,40.7153,-74.0035,73.4,19,205.0,-3.0,5.5,2.7
2024-01-01T00:00:26Z,40.7154,-74.0034,77.8,16,206.0,-3.2,5.7,2.6
2024-01-01T00:00:27Z,40.7155,-74.0033,82.3,13,207.0,-3.4,5.9,2.5
2024-01-01T00:00:28Z,40.7156,-74.0032,87.0,10,208.0,-3.6,6.1,2.4
2024-01-01T00:00:29Z,40.7157,-74.0031,91.8,7,209.0,-3.8,6.3,2.3
2024-01-01T00:00:30Z,40.7158,-74.0030,96.7,4,210.0,-4.0,6.5,2.2
